id,product_id,user_id,rating,comment,created_at
"1","1","1","5","Absolutely incredible machine. The M3 chip handles everything I throw at it - 4K video editing, Xcode builds, even gaming. Battery easily lasts through a full workday plus evening Netflix. The display is the best I've ever used on a laptop. Worth every penny!","2026-06-29T08:42:37.595035+00:00"
"2","1","2","5","Best laptop I've ever owned. The build quality is exceptional, keyboard is a joy to type on, and it runs completely silent for most tasks. Only downside is the price, but for professional use it's justified.","2026-06-29T08:42:37.595035+00:00"
"3","1","5","4","Great performance but I miss having more ports. Dongle life is annoying. Otherwise a fantastic machine that replaced my desktop setup.","2026-06-29T08:42:37.595035+00:00"
"4","2","3","5","The noise cancellation is witchcraft. I wear these on the subway every day and can't hear a thing. Sound quality is crisp with punchy bass. The speak-to-chat feature is surprisingly useful.","2026-06-29T08:42:37.595035+00:00"
"5","2","6","4","Excellent headphones overall. The call quality is crystal clear according to my colleagues. They're a bit bulky for travel though, and the case takes up significant bag space.","2026-06-29T08:42:37.595035+00:00"
"6","3","4","5","Perfect for my WFH setup. The brown switches are satisfying without being too loud for calls. Bluetooth connectivity is reliable and battery lasts weeks. Love that it works seamlessly with both my Mac and PC.","2026-06-29T08:42:37.595035+00:00"
"7","3","1","3","Good keyboard but the keycaps feel a bit cheap. Also had some Bluetooth dropout issues initially. Switches sound great though and the compact size is perfect for my small desk.","2026-06-29T08:42:37.595035+00:00"
"8","4","2","5","Color accuracy is spot-on for my photography work. The 4K resolution makes everything look crisp. HDR content looks stunning. Stand is adjustable and build quality feels premium.","2026-06-29T08:42:37.595035+00:00"
"9","4","3","4","Great monitor for the price. Colors are vibrant and the IPS panel has good viewing angles. Wish it had USB-C connectivity for single-cable laptop setup though.","2026-06-29T08:42:37.595035+00:00"
"10","5","5","5","This mouse has genuinely improved my productivity. The horizontal scroll wheel is perfect for Excel and video editing. Ergonomics are excellent - no more wrist pain after long sessions.","2026-06-29T08:42:37.595035+00:00"
"11","5","6","5","Game changer for creative work. The customizable buttons and gestures save so much time. Battery lasts forever and charges quickly via USB-C.","2026-06-29T08:42:37.595035+00:00"
"12","6","4","4","The M2 chip is incredibly fast and the display is gorgeous for drawing. I use it as my primary design tool with Procreate. iPadOS still has some limitations compared to macOS though.","2026-06-29T08:42:37.595035+00:00"
"13","6","2","5","Replaced my laptop completely. The Magic Keyboard makes it feel like a real computer, and the pencil is perfect for note-taking. Apple Pencil hover is a subtle but useful feature.","2026-06-29T08:42:37.595035+00:00"
"14","7","3","5","Essential for travel. Charged my iPhone 7 times and iPad twice on a week-long trip. The three ports mean I can charge all my devices overnight. Robust build quality too.","2026-06-29T08:42:37.595035+00:00"
"15","7","1","4","Massive capacity and reliable. A bit heavy to carry around daily, but perfect for flights and camping. Delivery was faster than expected.","2026-06-29T08:42:37.595035+00:00"
"16","8","6","5","Finally, earbuds that fit my ears! The wing tips keep them secure during runs. Sound is balanced and the noise cancellation is impressive for earbuds. Transparency mode sounds natural.","2026-06-29T08:42:37.595035+00:00"
"17","8","4","4","Great for workouts and commuting. The fit is comfortable for hours. Wish they had wireless charging case at this price point though.","2026-06-29T08:42:37.595035+00:00"
"18","9","5","5","Transformed my coding workflow. Having three full windows side-by-side is incredible. The curve is subtle and immersive. Colors are accurate enough for my UI design work.","2026-06-29T08:42:37.595035+00:00"
"19","10","2","5","The double-tap gesture is surprisingly useful when my hands are full. Sleep tracking helped me improve my sleep schedule. Battery easily lasts a full day with workouts.","2026-06-29T08:42:37.595035+00:00"
"20","10","3","4","Excellent fitness companion. The heart rate monitoring is accurate compared to my chest strap. Always-on display is convenient. Wish battery lasted longer for multi-day trips.","2026-06-29T08:42:37.595035+00:00"
